@relation 'allData-weka.filters.unsupervised.attribute.Remove-R1-3,7,9-23,25-28-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 4 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute Unemployment_rate_2015 numeric
@attribute Median_Household_Income_2015 numeric
@attribute poverty_rate numeric
@attribute college_rate numeric
@attribute crime_rate_per_100000 numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4}

@data
0.211712,0.282129,0.390052,0.607143,0.186777,cluster1
0.27027,0.179135,0.400524,0.711538,0.13674,cluster4
0.247748,0.206541,0.431937,0.75,0.342427,cluster4
0.274775,0.349106,0.136126,0.714286,0.339176,cluster4
0.252252,0.115925,0.379581,0.494505,0.222402,cluster1
0.148649,0.321564,0.34555,0.601648,0.228912,cluster4
0.274775,0.169563,0.32199,0.68956,0.100872,cluster4
0.351351,0.143331,0.599476,0.708791,0.199667,cluster2
0.162162,0.235064,0.395288,0.634615,0.266824,cluster4
0.202703,0.271771,0.298429,0.700549,0.109644,cluster4
0.432432,0.116488,0.460733,0.398352,0.06324,cluster2
0.171171,0.236161,0.274869,0.741758,0.178461,cluster4
0.891892,0.170204,0.410995,0.557692,0.193315,cluster2
0.108108,0.177514,0.376963,0.434066,0.329883,cluster1
0.27027,0.164816,0.342932,0.519231,0.136343,cluster1
0.166667,0.135992,0.287958,0.620879,0.066762,cluster4
0.09009,0.363086,0.17801,0.395604,0.149094,cluster3
0.13964,0.174893,0.287958,0.653846,0.198468,cluster4
0.193694,0.140157,0.536649,0.35989,0.153784,cluster2
0.162162,0.171174,0.264398,0.263736,0.106475,cluster1
0.126126,0.142642,0.280105,0.552198,0.138466,cluster1
0.328829,0.068676,0.58377,0.326923,0.32985,cluster2
0.171171,0.145254,0.403141,0.494505,0.215923,cluster1
0.216216,0.120673,0.376963,0.343407,0.050724,cluster2
0.22973,0.204056,0.256545,0.483516,0.13687,cluster1
0.175676,0.206095,0.314136,0.403846,0.045459,cluster1
0.216216,0.147205,0.437173,0.398352,0.106231,cluster2
0.193694,0.202008,0.301047,0.392857,0.14972,cluster1
0.117117,0.18995,0.316754,0.491758,0.179803,cluster1
0.153153,0.229608,0.227749,0.574176,0.176537,cluster4
0.198198,0.140545,0.497382,0.464286,0.979308,cluster2
0.162162,0.157641,0.379581,0.252747,0.193984,cluster1
0.243243,0.101528,0.361257,0.222527,0.288409,cluster2
0.247748,0.078568,0.609948,0.376374,0.232051,cluster2
0.234234,0.159651,0.376963,0.417582,0.202004,cluster1
0.130631,0.274382,0.264398,0.563187,0.175466,cluster4
0.144144,0.184834,0.308901,0.494505,0.176379,cluster1
0.153153,0.11478,0.319372,0.563187,0.081637,cluster1
0.166667,0.143962,0.36911,0.637363,0.217075,cluster4
0.126126,0.240355,0.209424,0.475275,0.173428,cluster1
0.153153,0.204862,0.303665,0.387363,0.156676,cluster1
0.144144,0.113256,0.447644,0.453297,0.362523,cluster2
0.148649,0.164621,0.387435,0.5,0.036647,cluster1
0.108108,0.100043,0.32199,0.494505,0.172576,cluster1
0.211712,0.148991,0.324607,0.461538,0.313733,cluster1
0.216216,0.120974,0.335079,0.494505,0.112709,cluster1
0.256757,0.093946,0.515707,0.313187,0.20275,cluster2
0.238739,0.136846,0.52356,0.472527,0.535233,cluster2
0.18018,0.126041,0.413613,0.266484,0.114432,cluster2
0.261261,0.106499,0.384817,0.326923,0.03078,cluster2
0.189189,0.115663,0.439791,0.414835,0.07217,cluster2
0.220721,0.05424,0.641361,0.274725,0.072436,cluster2
0.198198,0.168165,0.431937,0.277473,0.063635,cluster2
0.166667,0.158932,0.353403,0.629121,0.175346,cluster4
0.18018,0.145914,0.36911,0.406593,0.108666,cluster1
0.108108,0.323729,0.191099,0.623626,0.174305,cluster4
0.094595,0.175844,0.324607,0.282967,0.167045,cluster1
0.153153,0.117003,0.329843,0.478022,0.183408,cluster1
0.144144,0.156408,0.431937,0.557692,0.533582,cluster1
0.324324,0.11644,0.513089,0.508242,0.426335,cluster2
0.193694,0.076763,0.589005,0.409341,0.203398,cluster2
0.225225,0.144836,0.390052,0.521978,0,cluster1
0.144144,0.1264,0.426702,0.412088,0.120499,cluster1
0.13964,0.104703,0.439791,0.373626,0.034601,cluster2
0.207207,0.146525,0.413613,0.423077,0.198645,cluster1
0.193694,0.195387,0.277487,0.447802,0.161828,cluster1
0.261261,0.051745,0.719895,0.593407,0.456847,cluster2
0.184685,0.129818,0.301047,0.549451,0.044935,cluster1
0.171171,0.095742,0.445026,0.401099,0.201074,cluster2
0.18018,0.114838,0.473822,0.623626,0.161346,cluster1
0.157658,0.176495,0.400524,0.472527,0.141858,cluster1
0.130631,0.161389,0.342932,0.431319,0.053311,cluster1
0.126126,0.228909,0.395288,0.505495,0.535669,cluster1
0.243243,0.114906,0.293194,0.505495,0.015771,cluster1
0.243243,0.084762,0.541885,0.43956,0.30297,cluster2
0.103604,0.330389,0.170157,0.557692,0.139504,cluster3
0.135135,0.127507,0.361257,0.403846,0.101925,cluster1
0.171171,0.073132,0.382199,0.450549,0.090421,cluster1
0.135135,0.180164,0.45288,0.541209,0.341811,cluster1
0.198198,0.184009,0.363874,0.412088,0.099615,cluster1
0.22973,0.089325,0.455497,0.43956,0.05237,cluster2
0.202703,0.088626,0.36911,0.450549,0.137502,cluster1
0.198198,0.187377,0.358639,0.461538,0.33734,cluster1
0.220721,0.149622,0.327225,0.428571,0.141717,cluster1
0.076577,0.228375,0.319372,0.379121,0.242647,cluster1
0.198198,0.190416,0.382199,0.406593,0.110921,cluster1
0.207207,0.078821,0.455497,0.197802,0.023672,cluster2
0.148649,0.140972,0.301047,0.307692,0.152936,cluster1
0.130631,0.568588,0.21466,0.387363,0.420589,cluster3
0.247748,0.271712,0.316754,0.549451,0.385185,cluster1
0.216216,0.320224,0.212042,0.788462,0.19865,cluster4
0.238739,0.218191,0.445026,0.771978,0.171866,cluster4
0.207207,0.287139,0.201571,0.873626,0.126613,cluster4
0.608108,0.274003,0.209424,0.563187,0.120188,cluster1
0.144144,0.583869,0.17801,0.527473,0.223581,cluster3
0.301802,0.156001,0.424084,0.667582,0.310321,cluster4
0.175676,0.511436,0.13089,0.741758,0.136334,cluster3
0.378378,0.23022,0.557592,0.546703,0.298158,cluster2
0.310811,0.200862,0.335079,0.527473,0.155787,cluster1
0.171171,0.173242,0.426702,0.692308,0.161404,cluster4
1,0.16534,0.502618,0.521978,0.155481,cluster2
0.18018,0.279624,0.183246,0.590659,0.25081,cluster4
0.378378,0.274314,0.471204,0.532967,0.321342,cluster2
0.391892,0.228589,0.450262,0.620879,0.283528,cluster2
0.261261,0.146584,0.382199,0.788462,0.328566,cluster4
0.243243,0.308487,0.272251,0.755495,0.229024,cluster4
0.216216,0.35096,0.358639,0.409341,0.248215,cluster1
0.391892,0.230074,0.437173,0.576923,0.342024,cluster2
0.076577,0.747277,0.099476,0.381868,0.105834,cluster3
0.238739,0.210677,0.248691,0.755495,0.223152,cluster4
0.18018,0.197493,0.397906,0.692308,0.229123,cluster4
0.427928,0.194018,0.557592,0.508242,0.388592,cluster2
0.301802,0.150554,0.350785,0.85989,0.420953,cluster4
0.193694,0.301905,0.157068,0.67033,0.174461,cluster4
0.283784,0.360688,0.293194,0.423077,0.242825,cluster1
0.126126,0.48336,0.157068,0.552198,0.192871,cluster3
0.162162,0.337194,0.206806,0.785714,0.138089,cluster4
0.117117,0.534998,0.246073,0.478022,0.121647,cluster3
0.144144,0.517533,0.136126,0.736264,0.10331,cluster3
0.378378,0.23221,0.217277,0.914835,0.319572,cluster4
0.220721,0.339796,0.332461,0.601648,0.170125,cluster4
0.189189,0.347951,0.350785,0.664835,0.305633,cluster4
